Year,VN_CO2,World_CO2,CH4_VN,CH4_world,N2O_VN,N2O_World
1750,,9.351,,,,
1751,,9.351,,,,
1752,,9.354,,,,
1753,,9.354,,,,
1754,,9.358,,,,
1755,,9.362,,,,
1756,,10.006,,,,
1757,,10.01,,,,
1758,,10.014,,,,
1759,,10.017,,,,
1760,,10.017,,,,
1761,,10.974,,,,
1762,,10.977,,,,
1763,,10.981,,,,
1764,,10.985,,,,
1765,,10.988,,,,
1766,,12.26,,,,
1767,,12.263,,,,
1768,,12.267,,,,
1769,,12.271,,,,
1770,,12.274,,,,
1771,,13.612,,,,
1772,,13.615,,,,
1773,,13.619,,,,
1774,,13.623,,,,
1775,,13.626,,,,
1776,,15.037,,,,
1777,,15.041,,,,
1778,,15.044,,,,
1779,,15.048,,,,
1780,,15.055,,,,
1781,,16.843,,,,
1782,,16.847,,,,
1783,,16.854,,,,
1784,,16.858,,,,
1785,,16.869,,,,
1786,,19.152,,,,
1787,,19.159,,,,
1788,,19.163,,,,
1789,,19.17,,,,
1790,,19.177,,,,
1791,,21.42,,,,
1792,,21.896,,,,
1793,,21.914,,,,
1794,,21.881,,,,
1795,,21.892,,,,
1796,,22.951,,,,
1797,,24.094,,,,
1798,,25.095,,,,
1799,,26.428,,,,
1800,,28.092,,,,
1801,,27.96,,,,
1802,,36.783,,,,
1803,,31.488,,,,
1804,,34.31,,,,
1805,,33.419,,,,
1806,,35.046,,,,
1807,,36.874,,,,
1808,,35.064,,,,
1809,,35.09,,,,
1810,,37.38,,,,
1811,,39.582,,,,
1812,,41.007,,,,
1813,,41.22,,,,
1814,,42.129,,,,
1815,,43.488,,,,
1816,,47.665,,,,
1817,,49.431,,,,
1818,,49.644,,,,
1819,,49.948,,,,
1820,,50.688,,,,
1821,,51.435,,,,
1822,,53.465,,,,
1823,,56.55,,,,
1824,,58.525,,,,
1825,,60.756,,,,
1826,,61.42,,,,
1827,,65.915,,,,
1828,,66.637,,,,
1829,,66.395,,,,
1830,,89.123,,,,
1831,,84.528,,,,
1832,,85.111,,,,
1833,,86.807,,,,
1834,,88.486,,,,
1835,,90.446,,,,
1836,,104.776,,,,
1837,,104.691,,,,
1838,,108.044,,,,
1839,,111.613,,,,
1840,,118.93,,,,
1841,,122.619,,,,
1842,,129.504,,,,
1843,,132.853,,,,
1844,,141.423,,,,
1845,,155.211,,,,
1846,,157.794,,,,
1847,,172.402,,,,
1848,,173.816,,,,
1849,,183.511,,,,
1850,,196.896,,,,
1851,,198.805,,,,
1852,,207.551,,,,
1853,,217.209,,,,
1854,,255.139,,,,
1855,,260.166,,,,
1856,,277.292,,,,
1857,,279.889,,,,
1858,,284.171,,,,
1859,,301.312,,,,
1860,,330.641,,,,
1861,,347.735,,,,
1862,,354.057,,,,
1863,,377.859,,,,
1864,,407.09,,,,
1865,,432.307,,,,
1866,,445.97,,,,
1867,,477.815,,,,
1868,,490.753,,,,
1869,,521.131,,,,
1870,,532.537,,,,
1871,,566.143,,,,
1872,,626.372,,,,
1873,,665.419,,,,
1874,,622.997,,,,
1875,,675.799,,,,
1876,,685.553,,,,
1877,,699.099,,,,
1878,,704.379,,,,
1879,,754.867,,,,
1880,,853.705,,,,
1881,,882.405,,,,
1882,,931.922,,,,
1883,,991.032,,,,
1884,,1002.174,,,,
1885,,1009.671,,,,
1886,,1025.475,,,,
1887,,1076.758,,,,
1888,,1192.272,,,,
1889,,1191.8,,,,
1890,,1298.458,,,,
1891,,1358.874,,,,
1892,0.213,1370.088,,,,
1893,0.663,1353.669,,,,
1894,0.304,1400.858,,,,
1895,0.18,1485.273,,,,
1896,0.363,1533.701,,,,
1897,0.524,1606.301,,,,
1898,0.656,1694.266,,,,
1899,0.733,1850.798,,,,
1900,0.513,1952.209,,,,
1901,0.502,2016.744,,,,
1902,0.399,2067.684,,,,
1903,0.557,2254.095,,,,
1904,0.802,2279.749,,,,
1905,0.791,2427.313,,,,
1906,0.835,2534.734,,,,
1907,0.85,2888.308,,,,
1908,0.92,2776.404,,,,
1909,1.019,2890.468,,,,
1910,1.323,3033.82,,,,
1911,1.158,3079.215,,,,
1912,1.14,3235.538,,,,
1913,1.352,3505.865,,,,
1914,1.645,3179.912,,,,
1915,1.707,3134.378,,,,
1916,1.817,3385.277,,,,
1917,1.737,3539.853,,,,
1918,1.689,3492.84,,,,
1919,1.766,3028.56,,,,
1920,1.858,3521.062,,,,
1921,2.444,3089.464,,,,
1922,2.627,3239.736,,,,
1923,2.803,3675.398,,,,
1924,3.279,3686.099,,,,
1925,3.616,3725.637,,,,
1926,3.422,3659.297,,,,
1927,3.957,3993.754,,,,
1928,5.297,3976.071,,,,
1929,5.323,4267.657,,,,
1930,5.272,3934.73,,,,
1931,4.656,3516.94,,,,
1932,4.627,3170.801,,,,
1933,4.275,3338.349,,,,
1934,4.283,3630.765,,,,
1935,4.763,3811.112,,,,
1936,5.873,4181.088,,,,
1937,6.239,4469.369,,,,
1938,6.352,4201.28,,,,
1939,7.092,4445.443,,,,
1940,6.77,4854.658,,,,
1941,6.327,4965.649,,,,
1942,3.385,4953.624,,,,
1943,2.769,5035.077,,,,
1944,1.425,5110.656,,,,
1945,0.616,4250.264,,,,
1946,0.714,4638.339,,,,
1947,0.711,5138.49,,,,
1948,1,5415.709,,,,
1949,1.077,5245.849,,,,
1950,1.48,6003.272,,,,
1951,1.285,6379.796,,,,
1952,1.864,6465.727,,,,
1953,1.75,6647.763,,,,
1954,2.67,6789.969,,,,
1955,3.524,7443.244,,,,
1956,2.908,7924.253,,,,
1957,2.876,8185.547,,,,
1958,5.015,8417.624,,,,
1959,6.605,8856.221,,,,
1960,7.484,9387.668,,,,
1961,7.978,9418.46,,,,
1962,9.338,9751.06,,,,
1963,9.11,10271.655,,,,
1964,11.788,10829.612,,,,
1965,13.15,11317.596,,,,
1966,19.181,11866.934,,,,
1967,22.962,12244.029,,,,
1968,23.601,12910.892,,,,
1969,27.056,13767.398,,,,
1970,28.173,14898.716,,,,
1971,24.504,15505.496,,,,
1972,23.035,16228.729,,,,
1973,25.068,17086.193,,,,
1974,19.058,17017.477,,,,
1975,21.771,17054.627,,,,
1976,13.899,17991.887,,,,
1977,15.247,18502.846,,,,
1978,15.388,19077.193,,,,
1979,16.25,19618.463,,,,
1980,16.789,19501.264,,,,
1981,17.695,19036.117,,,,
1982,18.342,18884.486,,,,
1983,19.27,19006.539,,,,
1984,17.495,19664.754,,,,
1985,21.097,20325.486,,,,
1986,20.585,20627.359,,,,
1987,23.297,21273.904,,,,
1988,23.073,22107.795,,,,
1989,17.398,22410.402,,,,
1990,21.299,22757.48,43.75,6909.03,11.29,2368.97
1991,21.376,23244.807,45.68,6918.61,12.6,2356.09
1992,21.466,22580.023,47.15,6895.23,12.51,2348.92
1993,22.853,22812.9,48.4,6914.18,13.06,2332.62
1994,26.169,22969.498,48.67,6958.84,15.2,2424.1
1995,28.697,23458.713,51.6,7032.09,15.03,2479.91
1996,34.206,24159.383,54.36,7037.11,16.21,2493.52
1997,44.517,24302.584,56.35,7268.6,15.92,2480.57
1998,46.791,24213.26,60.44,7159.87,18.15,2510.94
1999,46.89,24732.389,62.95,7112.04,18.43,2498.22
2000,52.601,25453.623,64.73,7124,19.34,2490.42
2001,59.654,25668.049,64.52,7062.72,17.73,2512.18
2002,68.499,26281.037,67.23,7199.6,18.86,2570.02
2003,76.048,27651.596,68.69,7262.51,20.39,2604.75
2004,87.743,28636.695,73.09,7505.18,21.33,2687.85
2005,94.694,29614.602,75.78,7556.28,20.52,2701.33
2006,98.626,30593.117,77.9,7749.95,20.07,2733.12
2007,100.362,31506.789,79.69,7729.96,22.04,2802.95
2008,113.327,32085.836,79.68,7782.22,18.92,2775.36
2009,123.443,31564.031,81.83,7812.91,24.34,2769.55
2010,138.585,33364.348,82.93,7909.88,22.42,2845.37
2011,151.227,34487.012,83.47,8050.43,21.03,2914.6
2012,144.373,35006.27,83.79,8141.11,22.21,2937.79
2013,151.518,35319.203,85.04,8109.3,24.65,2918.25
2014,183.825,35577.535,84.93,8266.81,23.48,2963.01
2015,217.729,35558.566,83.85,8315.91,25.91,2995.51
2016,226.1,35524.191,81.85,8227.18,24.82,3027.26
2017,233.041,36096.738,81.28,8333.4,24.89,3087.4
2018,274.223,36826.508,81.42,8489.97,25.44,3072.53
2019,341.005,37082.559,80.7,8609.92,25.59,3096.79
2020,328.9,35264.086,,,,
2021,326.014,37123.852,,,,
